food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason
brussels sprouts cooked,"Brussels sprouts, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
milk 1% fat,Milk 1% fat,Semi-skimmed milks: includes longlife semi-skimmed,,
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item
toast white bread,"Toast, white bread",White bread/rolls,,
chocolate sponge cake with no filling,Chocolate sponge cake with no filling,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,
apple juice,Apple juice,Fruit juices e.g. fresh orange juice,,
cheese and tomato pizza eg margherita,Cheese and tomato pizza (e.g. Margherita),Pizza,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
bagel white,"Bagel, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,
roast/grilled turkey breast,Roast/grilled turkey breast,Chicken/Turkey dishes,,
mixed leaf salad no dressing,"Mixed leaf salad, no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
